Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
gift_voucher,Chrome 103.0.5060.134,,,2022-08-03 16:20:44,2022-08-03 16:22:43,"1m - 59,374s",FAILED
,,,,,,,
Test Cases/Technical_validations/woocommerce/products/wordpress_front/buy_gift_voucher_check_email_logs/deleted_emails_logs,Chrome 103.0.5060.134,,,2022-08-03 16:20:44,2022-08-03 16:22:00,"1m - 16,279s",FAILED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-03 16:20:44,2022-08-03 16:20:46,"1,756s",PASSED
"navigateToUrl(""https://test2.bittermate.com/wp-login.php?redirect_to=https%3A%2F%2Ftest2.bittermate.com%2Fwp-admin%2F&reauth=1"")",Chrome 103.0.5060.134,,,2022-08-03 16:20:46,2022-08-03 16:20:47,"1,150s",PASSED
"setText(findTestObject(""Object Repository/technical_validation/woocommerce/wordpress_front/buy_gift_voucher/Deleted_emails_logs/Username_log""), ""HeK7efHMQ5uFnm9JjsPr"")",Chrome 103.0.5060.134,,,2022-08-03 16:20:47,2022-08-03 16:20:48,"0,791s",PASSED
"setEncryptedText(findTestObject(""Object Repository/technical_validation/woocommerce/wordpress_front/buy_gift_voucher/Deleted_emails_logs/Password""), ""j0Nap0ti6DhaVggngvyR/o5uPt58Q4Zkrfnklq59dgCapLJ4ygQgUQ=="")",Chrome 103.0.5060.134,,,2022-08-03 16:20:48,2022-08-03 16:20:48,"0,417s",PASSED
"click(findTestObject(""Object Repository/technical_validation/woocommerce/wordpress_front/buy_gift_voucher/Deleted_emails_logs/input_button""))",Chrome 103.0.5060.134,,,2022-08-03 16:20:48,2022-08-03 16:20:50,"1,885s",PASSED
"click(findTestObject(""Object Repository/technical_validation/woocommerce/wordpress_front/buy_gift_voucher/Deleted_emails_logs/WP Mail SMTP""))",Chrome 103.0.5060.134,,,2022-08-03 16:20:50,2022-08-03 16:20:51,"1,395s",PASSED
"click(findTestObject(""Object Repository/technical_validation/woocommerce/wordpress_front/buy_gift_voucher/Deleted_emails_logs/a_Email Log""))",Chrome 103.0.5060.134,,,2022-08-03 16:20:51,2022-08-03 16:20:54,"2,587s",PASSED
